nichi,group_mise,kyaku_param
20190425,Z,0.82453
20190426,X,0.86626
20190426,Y,0.7754
20190426,Z,0.79085
20190507,X,0.8459
20190507,Y,0.90307
20190507,Z,0.86175
20190508,X,0.82492
20190508,Y,0.86266
20190508,Z,0.79121
20190509,X,0.85988
20190509,Y,0.8735
20190509,Z,0.78625
20190510,X,0.86839
20190510,Y,0.84978
20190510,Z,0.73024
20190513,X,0.86231
20190513,Y,0.90102
20190513,Z,0.88231
20190514,X,0.88693
20190514,Y,0.79649
20190514,Z,0.8224
20190515,X,0.84985
20190515,Y,0.8899
20190515,Z,0.77951
20190516,X,0.91763
20190516,Y,0.88843
20190516,Z,0.80362
20190517,X,0.91429
20190517,Y,0.88521
20190517,Z,0.81035
20190520,X,0.95198
20190520,Y,0.97892
20190520,Z,0.95888
20190521,X,0.98571
20190521,Y,0.70922
20190521,Z,0.92024
20190522,X,0.93435
20190522,Y,0.93558
20190522,Z,0.82524
20190523,X,0.9538
20190523,Y,0.92826
20190523,Z,0.83375
20190524,X,0.9234
20190524,Y,0.9265
20190524,Z,0.79263
20190527,X,0.93617
20190527,Y,0.9795
20190527,Z,0.92662
20190528,X,0.95258
20190528,Y,0.89956
20190528,Z,0.82701
20190529,X,0.91581
20190529,Y,0.90366
20190529,Z,0.77561
20190530,X,0.93313
20190530,Y,0.87526
20190530,Z,0.77845
20190531,X,0.90638
20190531,Y,0.89341
20190531,Z,0.75363
20190603,X,0.9231
20190603,Y,0.94378
20190603,Z,0.94576
20190604,X,0.95836
20190604,Y,0.91245
20190604,Z,0.80043
20190605,X,0.9693
20190605,Y,0.89283
20190605,Z,0.81248
20190606,X,0.96657
20190606,Y,0.92211
20190606,Z,0.80964
20190607,X,0.91581
20190607,Y,0.78243
20190607,Z,0.8061
20190610,X,0.90486
20190610,Y,0.73704
20190610,Z,0.9759
20190611,X,0.89635
20190611,Y,0.88755
20190611,Z,0.7749
20190612,X,0.89514
20190612,Y,0.86589
20190612,Z,0.77419
20190613,X,0.9231
20190613,Y,0.90249
20190613,Z,0.79192
20190614,X,0.82097
20190614,Y,0.85476
20190614,Z,0.7196
20190617,X,0.89271
20190617,Y,0.93089
20190617,Z,0.93477
20190618,X,0.92249
20190618,Y,0.86852
20190618,Z,0.80007
20190619,X,0.92067
20190619,Y,0.88433
20190619,Z,0.81248
20190620,X,0.91155
20190620,Y,0.89868
20190620,Z,0.79617
20190621,X,0.87629
20190621,Y,0.85622
20190621,Z,0.7118
20190624,X,0.89179
20190624,Y,0.76164
20190624,Z,0.89507
20190625,X,0.86687
20190625,Y,0.88755
20190625,Z,0.76356
20190626,X,0.88571
20190626,Y,0.89605
20190626,Z,0.79475
20190627,X,0.8997
20190627,Y,0.88873
20190627,Z,0.77136
20190628,X,0.88298
20190628,Y,0.83865
20190628,Z,0.70223
20190701,X,0.94164
20190701,Y,0.90483
20190701,Z,0.98511
20190702,X,0.93556
20190702,Y,0.90132
20190702,Z,0.86175
20190703,X,0.95562
20190703,Y,0.93031
20190703,Z,0.84261
20190704,X,1
20190704,Y,0.76574
20190704,Z,0.87309
20190705,X,0.8997
20190705,Y,0.84685
20190705,Z,0.77348
20190708,X,0.9307
20190708,Y,0.93939
20190708,Z,0.88869
20190709,X,0.92918
20190709,Y,0.8776
20190709,Z,0.7827
20190710,X,0.95532
20190710,Y,0.89605
20190710,Z,0.82418
20190711,X,0.95562
20190711,Y,0.9183
20190711,Z,0.81141
20190712,X,0.88845
20190712,Y,0.78829
20190712,Z,0.76427
20190716,X,0.91307
20190716,Y,0.80556
20190716,Z,0.81531
20190717,X,0.88541
20190717,Y,0.94729
20190717,Z,0.76959
20190718,X,0.89362
20190718,Y,0.94261
20190718,Z,0.79298
20190719,X,0.86231
20190719,Y,0.89136
20190719,Z,0.72421
20190722,X,0.86201
20190722,Y,0.85593
20190722,Z,0.81602
20190723,X,0.92644
20190723,Y,0.84802
20190723,Z,0.69337
20190724,X,0.86292
20190724,Y,0.85915
20190724,Z,0.743
20190725,X,0.89362
20190725,Y,0.906
20190725,Z,0.7072
20190726,X,0.87021
20190726,Y,0.82958
20190726,Z,0.63949
20190729,X,0.92401
20190729,Y,0.92416
20190729,Z,0.79794
20190730,X,0.90669
20190730,Y,0.87731
20190730,Z,0.70507
20190731,X,0.88055
20190731,Y,0.88931
20190731,Z,0.70365
20190801,X,0.88146
20190801,Y,0.89956
20190801,Z,0.7625
20190802,X,0.84498
20190802,Y,0.86179
20190802,Z,0.67848
20190805,X,0.9076
20190805,Y,0.94173
20190805,Z,0.86565
20190806,X,0.92158
20190806,Y,0.90249
20190806,Z,0.76923
20190807,X,0.8848
20190807,Y,0.89546
20190807,Z,0.78376
20190808,X,0.8997
20190808,Y,0.87818
20190808,Z,0.78376
20190809,X,0.82462
20190809,Y,0.75608
20190809,Z,0.68983
20190813,X,0.70122
20190813,Y,0.60059
20190813,Z,0.76923
20190814,X,0.73404
20190814,Y,0.6287
20190814,Z,0.75824
20190815,X,0.72371
20190815,Y,0.62313
20190815,Z,0.7352
20190816,X,0.69757
20190816,Y,0.57394
20190816,Z,0.67387
20190819,X,0.77234
20190819,Y,0.82753
20190819,Z,0.77065
20190820,X,0.81641
20190820,Y,0.84305
20190820,Z,0.74938
20190821,X,0.8386
20190821,Y,0.86852
20190821,Z,0.70117
20190822,X,0.82766
20190822,Y,0.88697
20190822,Z,0.70011
20190823,X,0.80638
20190823,Y,0.79531
20190823,Z,0.63169
20190826,X,0.84134
20190826,Y,0.94143
20190826,Z,0.8302
20190827,X,0.88085
20190827,Y,0.88463
20190827,Z,0.73981
20190828,X,0.91094
20190828,Y,0.76837
20190828,Z,0.7944
20190829,X,0.8997
20190829,Y,0.89458
20190829,Z,0.71606
20190830,X,0.84164
20190830,Y,0.77687
20190830,Z,0.67423
20190902,X,0.87964
20190902,Y,0.95578
20190902,Z,0.89401
20190903,X,0.93191
20190903,Y,0.90044
20190903,Z,0.8146
20190904,X,0.88875
20190904,Y,0.88082
20190904,Z,0.76994
20190905,X,0.87052
20190905,Y,0.92796
20190905,Z,0.7632
20190906,X,0.83404
20190906,Y,0.87731
20190906,Z,0.70684
20190909,X,0.54468
20190909,Y,0.68609
20190909,Z,0.58171
20190910,X,0.94164
20190910,Y,0.9265
20190910,Z,0.76746
20190911,X,0.91489
20190911,Y,0.94231
20190911,Z,0.74619
20190912,X,0.89362
20190912,Y,0.93763
20190912,Z,0.74123
20190913,X,0.81064
20190913,Y,0.87028
20190913,Z,0.73485
20190917,X,0.8541
20190917,Y,0.9022
20190917,Z,0.77384
20190918,X,0.8535
20190918,Y,0.80996
20190918,Z,0.77348
20190919,X,0.83191
20190919,Y,0.88609
20190919,Z,0.70046
20190920,X,0.79392
20190920,Y,0.8735
20190920,Z,0.66076
20190924,X,0.86201
20190924,Y,0.90337
20190924,Z,0.76072
20190925,X,0.8386
20190925,Y,0.88141
20190925,Z,0.72669
20190926,X,0.84134
20190926,Y,0.90249
20190926,Z,0.75328
20190927,X,0.80912
20190927,Y,0.84861
20190927,Z,0.71464
20190930,X,0.84316
20190930,Y,0.94846
20190930,Z,0.80043
20191001,X,0.86231
20191001,Y,0.95373
20191001,Z,0.80078
20191002,X,0.84772
20191002,Y,0.94905
20191002,Z,0.80078
20191003,X,0.86505
20191003,Y,0.9101
20191003,Z,0.82701
20191004,X,0.8383
20191004,Y,0.83836
20191004,Z,0.74158
20191007,X,0.89666
20191007,Y,1
20191007,Z,0.87629
20191008,X,0.89605
20191008,Y,0.92562
20191008,Z,0.78128
20191009,X,0.84681
20191009,Y,0.93382
20191009,Z,0.76817
20191010,X,0.87994
20191010,Y,0.9593
20191010,Z,0.78235
20191011,X,0.869
20191011,Y,0.84773
20191011,Z,0.70897
20191015,X,0.84468
20191015,Y,0.91479
20191015,Z,0.78518
20191016,X,0.84529
20191016,Y,0.90864
20191016,Z,0.76604
20191017,X,0.8462
20191017,Y,0.90249
20191017,Z,0.7469
20191018,X,0.80426
20191018,Y,0.8284
20191018,Z,0.7469
20191021,X,0.75623
20191021,Y,0.79239
20191021,Z,0.78447
20191023,X,0.85106
20191023,Y,0.9063
20191023,Z,0.74867
20191024,X,0.84377
20191024,Y,0.87965
20191024,Z,0.74796
20191025,X,0.81246
20191025,Y,0.66266
20191025,Z,0.78341
20191028,X,0.86505
20191028,Y,0.98946
20191028,Z,0.91811
20191029,X,0.87204
20191029,Y,0.85242
20191029,Z,0.87664
20191030,X,0.87325
20191030,Y,0.93734
20191030,Z,0.7944
20191031,X,0.89179
20191031,Y,0.96955
20191031,Z,0.83694
20191101,X,0.86383
20191101,Y,0.88873
20191101,Z,0.79334
20191105,X,0.86869
20191105,Y,0.92738
20191105,Z,0.83516
20191106,X,0.87599
20191106,Y,0.94817
20191106,Z,0.86388
20191107,X,0.91155
20191107,Y,0.92914
20191107,Z,0.83375
20191108,X,0.87082
20191108,Y,0.8858
20191108,Z,0.78518
20191111,X,0.88511
20191111,Y,0.92094
20191111,Z,0.91492
20191112,X,0.80486
20191112,Y,0.94436
20191112,Z,0.82949
20191113,X,0.80912
20191113,Y,0.90512
20191113,Z,0.7944
20191114,X,0.79939
20191114,Y,0.88316
20191114,Z,0.81106
20191115,X,0.76778
20191115,Y,0.84187
20191115,Z,0.70401
20191118,X,0.81033
20191118,Y,0.92504
20191118,Z,0.95463
20191119,X,0.81581
20191119,Y,0.89488
20191119,Z,0.78093
20191120,X,0.82796
20191120,Y,0.89195
20191120,Z,0.78093
20191121,X,0.81155
20191121,Y,0.87321
20191121,Z,0.80539
20191122,X,0.76687
20191122,Y,0.68375
20191122,Z,0.80681
20191125,X,0.78571
20191125,Y,0.90366
20191125,Z,0.86742
20191126,X,0.79726
20191126,Y,0.82958
20191126,Z,0.83162
20191127,X,0.81641
20191127,Y,0.79649
20191127,Z,0.84013
20191128,X,0.82036
20191128,Y,0.79473
20191128,Z,0.82914
20191129,X,0.75471
20191129,Y,0.84392
20191129,Z,0.72173
20191202,X,0.86565
20191202,Y,0.7754
20191202,Z,0.99965
20191203,X,0.80638
20191203,Y,0.89165
20191203,Z,0.80503
20191204,X,0.79818
20191204,Y,0.87555
20191204,Z,0.79972
20191205,X,0.8386
20191205,Y,0.87467
20191205,Z,0.79901
20191206,X,0.7535
20191206,Y,0.82255
20191206,Z,0.76427
20191209,X,0.79331
20191209,Y,0.90952
20191209,Z,0.9089
20191210,X,0.81733
20191210,Y,0.86618
20191210,Z,0.85324
20191211,X,0.81976
20191211,Y,0.88082
20191211,Z,0.80858
20191212,X,0.82675
20191212,Y,0.85944
20191212,Z,0.78944
20191213,X,0.78845
20191213,Y,0.8246
20191213,Z,0.74583
20191216,X,0.79757
20191216,Y,0.90571
20191216,Z,0.92946
20191217,X,0.81155
20191217,Y,0.81523
20191217,Z,0.85253
20191218,X,0.79696
20191218,Y,0.85974
20191218,Z,0.81071
20191219,X,0.79301
20191219,Y,0.87174
20191219,Z,0.83765
20191220,X,0.75198
20191220,Y,0.84363
20191220,Z,0.80929
20191223,X,0.77994
20191223,Y,0.87408
20191223,Z,0.93938
20191224,X,0.78571
20191224,Y,0.80908
20191224,Z,0.81354
20191225,X,0.74985
20191225,Y,0.82665
20191225,Z,0.81
20191226,X,0.79331
20191226,Y,0.83397
20191226,Z,0.80078
20191227,X,0.58024
20191227,Y,0.66091
20191227,Z,0.63488
20200106,X,0.70365
20200106,Y,0.9063
20200106,Z,0.78731
20200107,X,0.74195
20200107,Y,0.82899
20200107,Z,0.77738
20200108,X,0.77508
20200108,Y,0.7877
20200108,Z,0.84934
20200109,X,0.76201
20200109,Y,0.83924
20200109,Z,0.80681
20200110,X,0.72219
20200110,Y,0.83807
20200110,Z,0.82134
20200114,X,0.76717
20200114,Y,0.86149
20200114,Z,0.85892
20200115,X,0.75258
20200115,Y,0.84217
20200115,Z,0.85856
20200116,X,0.7541
20200116,Y,0.86149
20200116,Z,0.84474
20200117,X,0.74711
20200117,Y,0.80029
20200117,Z,0.76356
20200120,X,0.77173
20200120,Y,0.88082
20200120,Z,0.88657
20200121,X,0.78906
20200121,Y,0.83807
20200121,Z,0.82666
20200122,X,0.76717
20200122,Y,0.8366
20200122,Z,0.86671
20200123,X,0.7924
20200123,Y,0.81171
20200123,Z,0.89862
20200124,X,0.71185
20200124,Y,0.82372
20200124,Z,0.72953
20200127,X,0.76201
20200127,Y,0.85417
20200127,Z,0.89295
20200128,X,0.8076
20200128,Y,0.6978
20200128,Z,0.85218
20200129,X,0.74468
20200129,Y,0.84392
20200129,Z,0.83765
20200130,X,0.77477
20200130,Y,0.86384
20200130,Z,0.80574
20200131,X,0.74468
20200131,Y,0.81991
20200131,Z,0.75931
20200203,X,0.76261
20200203,Y,0.88433
20200203,Z,0.93974
20200204,X,0.7772
20200204,Y,0.85769
20200204,Z,0.82772
20200205,X,0.74924
20200205,Y,0.86266
20200205,Z,0.84296
20200206,X,0.77112
20200206,Y,0.82518
20200206,Z,0.82559
20200207,X,0.72188
20200207,Y,0.79004
20200207,Z,0.75647
20200210,X,0.70395
20200210,Y,0.74114
20200210,Z,0.82666
20200212,X,0.75897
20200212,Y,0.82343
20200212,Z,0.83127
20200213,X,0.7617
20200213,Y,0.7877
20200213,Z,0.84013
20200214,X,0.7234
20200214,Y,0.78272
20200214,Z,0.75576
20200217,X,0.74103
20200217,Y,0.87496
20200217,Z,0.90677
20200218,X,0.77599
20200218,Y,0.80381
20200218,Z,0.7827
20200219,X,0.75319
20200219,Y,0.82811
20200219,Z,0.81744
20200220,X,0.77234
20200220,Y,0.82635
20200220,Z,0.79404
20200221,X,0.70061
20200221,Y,0.80088
20200221,Z,0.73697
20200225,X,0.75684
20200225,Y,0.82225
20200225,Z,0.7905
20200226,X,0.75532
20200226,Y,0.74641
20200226,Z,0.82347
20200227,X,0.77295
20200227,Y,0.80439
20200227,Z,0.84615
20200228,X,0.77933
20200228,Y,0.80791
20200228,Z,0.78979
20200302,X,0.80243
20200302,Y,0.79736
20200302,Z,0.94186
20200303,X,0.7535
20200303,Y,0.81435
20200303,Z,0.81071
20200304,X,0.77234
20200304,Y,0.75988
20200304,Z,0.84403
20200305,X,0.79392
20200305,Y,0.73968
20200305,Z,0.81425
20200306,X,0.74559
20200306,Y,0.68873
20200306,Z,0.74796
20200309,X,0.76839
20200309,Y,0.7593
20200309,Z,0.85147
20200310,X,0.78267
20200310,Y,0.62958
20200310,Z,0.80787
20200311,X,0.76383
20200311,Y,0.73236
20200311,Z,0.80574
20200312,X,0.7459
20200312,Y,0.7265
20200312,Z,0.7827
20200313,X,0.73222
20200313,Y,0.70307
20200313,Z,0.73945
20200316,X,0.7997
20200316,Y,0.71947
20200316,Z,0.86104
20200317,X,0.80334
20200317,Y,0.69575
20200317,Z,0.74761
20200318,X,0.77204
20200318,Y,0.69341
20200318,Z,0.76817
20200319,X,0.75137
20200319,Y,0.64539
20200319,Z,0.72102
20200323,X,0.7541
20200323,Y,0.68316
20200323,Z,0.85431
20200324,X,0.76292
20200324,Y,0.6776
20200324,Z,0.76817
20200325,X,0.76535
20200325,Y,0.63719
20200325,Z,0.75505
20200326,X,0.7766
20200326,Y,0.6612
20200326,Z,0.74903
20200327,X,0.72401
20200327,Y,0.60615
20200327,Z,0.65899
20200330,X,0.74043
20200330,Y,0.60703
20200330,Z,0.74406
20200331,X,0.74347
20200331,Y,0.58477
20200331,Z,0.70152
20200401,X,0.75897
20200401,Y,0.5429
20200401,Z,0.83268
20200402,X,0.75502
20200402,Y,0.60966
20200402,Z,0.78447
20200403,X,0.76261
20200403,Y,0.57716
20200403,Z,0.69337
20200406,X,0.7535
20200406,Y,0.58067
20200406,Z,0.78447
20200407,X,0.7696
20200407,Y,0.51947
20200407,Z,0.67068
20200408,X,0.65957
20200408,Y,0.44246
20200408,Z,0.48564
20200409,X,0.56809
20200409,Y,0.41991
20200409,Z,0.39631
20200410,X,0.53283
20200410,Y,0.39414
20200410,Z,0.4073
20200413,X,0.52492
20200413,Y,0.30307
20200413,Z,0.4463
20200414,X,0.46809
20200414,Y,0.35813
20200414,Z,0.33782
20200415,X,0.45471
20200415,Y,0.36457
20200415,Z,0.33392
20200416,X,0.43191
20200416,Y,0.37247
20200416,Z,0.34775
20200417,X,0.44073
20200417,Y,0.32709
20200417,Z,0.2967
20200420,X,0.44316
20200420,Y,0.26911
20200420,Z,0.36937
20200421,X,0.41763
20200421,Y,0.35842
20200421,Z,0.2967
20200422,X,0.40304
20200422,Y,0.31918
20200422,Z,0.2967
20200423,X,0.40912
20200423,Y,0.33177
20200423,Z,0.29812
20200424,X,0.37933
20200424,Y,0.34261
20200424,Z,0.29918
20200427,X,0.40547
20200427,Y,0.2981
20200427,Z,0.30521
20200428,X,0.38602
20200428,Y,0.30717
20200428,Z,0.30131
20200430,X,0.3459
20200430,Y,0.26764
20200430,Z,0.29529
20200501,X,0.33374
20200501,Y,0.24978
20200501,Z,0.27969
20200507,X,0.37994
20200507,Y,0.40996
20200507,Z,0.33109
20200508,X,0.34529
20200508,Y,0.35227
20200508,Z,0.28217
20200511,X,0.37112
20200511,Y,0.35871
20200511,Z,0.28749
20200512,X,0.37052
20200512,Y,0.34056
20200512,Z,0.26196
20200513,X,0.34742
20200513,Y,0.37013
20200513,Z,0.26657
20200514,X,0.32614
20200514,Y,0.34319
20200514,Z,0.28181
20200515,X,0.32766
20200515,Y,0.35549
20200515,Z,0.24389
20200518,X,0.33252
20200518,Y,0.35754
20200518,Z,0.31017
20200519,X,0.32979
20200519,Y,0.3101
20200519,Z,0.26445
20200520,X,0.30395
20200520,Y,0.32474
20200520,Z,0.28217
20200521,X,0.29818
20200521,Y,0.34378
20200521,Z,0.2843
20200522,X,0.30061
20200522,Y,0.35754
20200522,Z,0.28217
20200525,X,0.32857
20200525,Y,0.36955
20200525,Z,0.29777
20200526,X,0.29696
20200526,Y,0.36633
20200526,Z,0.28465
20200527,X,0.28875
20200527,Y,0.37511
20200527,Z,0.31443
20200528,X,0.2772
20200528,Y,0.39327
20200528,Z,0.29458
20200529,X,0.34164
20200529,Y,0.40205
20200529,Z,0.31266
20200601,X,0.42067
20200601,Y,0.46735
20200601,Z,0.48458
20200602,X,0.40213
20200602,Y,0.48521
20200602,Z,0.40872
20200603,X,0.40729
20200603,Y,0.49898
20200603,Z,0.43991
20200604,X,0.38693
20200604,Y,0.49253
20200604,Z,0.44311
20200605,X,0.37781
20200605,Y,0.47701
20200605,Z,0.43141
20200608,X,0.40669
20200608,Y,0.52006
20200608,Z,0.42715
20200609,X,0.3997
20200609,Y,0.50278
20200609,Z,0.41227
20200610,X,0.40334
20200610,Y,0.49165
20200610,Z,0.42999
20200611,X,0.41854
20200611,Y,0.50073
20200611,Z,0.46792
20200612,X,0.37234
20200612,Y,0.47965
20200612,Z,0.40199
20200615,X,0.41459
20200615,Y,0.5142
20200615,Z,0.48139
20200616,X,0.40213
20200616,Y,0.51625
20200616,Z,0.43212
20200617,X,0.39483
20200617,Y,0.5183
20200617,Z,0.45374
20200618,X,0.40729
20200618,Y,0.50864
20200618,Z,0.46296
20200619,X,0.38328
20200619,Y,0.37101
20200619,Z,0.46402
20200622,X,0.42553
20200622,Y,0.4205
20200622,Z,0.51046
20200623,X,0.39301
20200623,Y,0.52562
20200623,Z,0.45055
20200624,X,0.40578
20200624,Y,0.49722
20200624,Z,0.45374
20200625,X,0.41581
20200625,Y,0.46061
20200625,Z,0.46118
20200626,X,0.40182
20200626,Y,0.51859
20200626,Z,0.43531
20200629,X,0.41854
20200629,Y,0.52504
20200629,Z,0.46189
20200630,X,0.44681
20200630,Y,0.51654
20200630,Z,0.48423
