nichi,kion_max,kion_min,kion_ave,kion_asa,kion_hiru,kion_yoru,kousuiryou,kousuiryou_asa,kousuiryou_hiru,kousuiryou_yoru,kousuiryou_jikan,kousuiryou_asa_jikan,kousuiryou_hiru_jikan,kousuiryou_yoru_jikan,tenki_id2,tenki_id2_asa,tenki_id2_hiru,tenki_id2_yoru
20180301,21,7,13,10,17,13,62,62,0,0,7,7,0,0,30,30,10,10
20180302,14,6,10,9,13,9,0,0,0,0,0,0,0,0,10,20,10,10
20180303,15,5,10,6,14,12,0,0,0,0,0,0,0,0,20,20,10,20
20180304,20,8,15,11,19,16,0,0,0,0,0,0,0,0,10,20,10,10
20180305,18,10,16,16,17,16,38,0,9,29,10,0,5,5,30,20,30,30
20180306,11,6,9,8,10,8,1,1,0,0,1,1,0,0,30,30,10,10
20180307,9,4,6,5,7,6,0,0,0,0,0,0,0,0,20,20,20,20
20180308,14,4,6,4,6,9,31,1,8,22,14,2,4,8,30,30,30,30
20180309,18,7,14,17,14,10,48,43,3,2,13,7,4,2,30,30,30,30
20180310,11,5,8,6,10,8,2,2,0,0,3,3,0,0,30,30,10,10
20180311,16,7,10,8,13,11,0,0,0,0,0,0,0,0,10,20,10,10
20180312,15,6,10,7,13,11,0,0,0,0,0,0,0,0,10,20,10,10
20180313,18,6,12,8,15,14,0,0,0,0,0,0,0,0,10,20,10,10
20180314,22,9,15,11,20,16,0,0,0,0,0,0,0,0,10,20,10,10
20180315,21,11,16,13,19,17,0,0,0,0,0,0,0,0,20,20,10,20
20180316,17,6,13,16,14,8,6,1,1,4,7,2,2,3,30,30,30,30
20180317,12,4,8,6,10,8,0,0,0,0,0,0,0,0,10,20,10,10
20180318,18,6,12,8,15,14,0,0,0,0,0,0,0,0,20,20,10,20
20180319,17,12,14,13,17,14,0,0,0,0,0,0,0,0,20,20,20,20
20180320,12,7,9,10,8,8,10,6,4,0,12,8,4,0,30,30,30,20
20180321,7,1,4,5,2,3,23,4,11,8,15,2,6,7,40,30,40,30
20180322,15,5,10,7,12,13,11,11,0,0,4,4,0,0,30,30,20,20
20180323,16,9,12,11,14,11,4,0,0,4,4,0,0,4,30,20,10,30
20180324,16,9,12,10,14,13,1,1,0,0,1,1,0,0,30,30,10,20
20180325,18,8,13,10,17,14,0,0,0,0,0,0,0,0,10,20,10,10
20180326,21,9,15,11,19,16,0,0,0,0,0,0,0,0,10,20,10,10
20180327,21,11,16,13,19,17,0,0,0,0,0,0,0,0,20,20,10,20
20180328,23,13,17,15,21,18,0,0,0,0,0,0,0,0,10,20,10,10
20180329,23,14,18,16,22,19,0,0,0,0,0,0,0,0,10,20,10,10
20180330,18,11,14,14,16,12,0,0,0,0,0,0,0,0,10,20,10,10
20180331,19,9,14,11,17,15,0,0,0,0,0,0,0,0,10,20,10,10
20180401,21,12,16,14,19,16,0,0,0,0,0,0,0,0,20,20,10,20
20180402,24,14,18,16,22,17,0,0,0,0,0,0,0,0,10,20,10,10
20180403,24,15,18,16,21,19,0,0,0,0,0,0,0,0,10,20,10,10
20180404,26,16,20,18,24,20,0,0,0,0,0,0,0,0,10,20,10,10
20180405,16,12,14,14,14,13,0,0,0,0,0,0,0,0,20,20,20,20
20180406,22,12,18,16,20,19,4,0,0,4,2,0,0,2,30,20,10,30
20180407,21,11,17,19,17,13,2,2,0,0,1,1,0,0,30,30,20,20
20180408,17,8,12,11,15,12,0,0,0,0,0,0,0,0,10,20,10,10
20180409,19,7,14,10,18,15,0,0,0,0,0,0,0,0,10,20,10,10
20180410,19,10,14,12,18,15,0,0,0,0,0,0,0,0,10,20,10,10
20180411,22,13,18,16,20,19,1,0,1,0,1,0,1,0,30,20,30,10
20180412,25,16,20,18,24,19,0,0,0,0,0,0,0,0,10,20,10,10
20180413,21,13,16,15,20,15,0,0,0,0,0,0,0,0,10,20,10,10
20180414,20,12,15,13,18,16,1,0,0,1,1,0,0,1,30,20,20,30
20180415,24,14,19,18,22,17,17,17,0,0,7,7,0,0,30,30,10,20
20180416,19,13,15,14,17,15,0,0,0,0,0,0,0,0,20,20,10,20
20180417,16,12,13,14,15,12,3,0,0,3,4,0,0,4,30,20,20,30
20180418,17,12,13,12,14,14,26,24,2,0,12,10,2,0,30,30,30,10
20180419,22,12,17,14,21,17,0,0,0,0,0,0,0,0,10,20,10,10
20180420,26,14,19,16,24,18,0,0,0,0,0,0,0,0,10,10,10,10
20180421,26,14,19,17,24,19,0,0,0,0,0,0,0,0,10,10,10,10
20180422,28,16,21,18,25,20,0,0,0,0,0,0,0,0,10,10,10,10
20180423,18,15,16,17,17,15,0,0,0,0,0,0,0,0,20,20,20,20
20180424,22,15,18,17,21,19,0,0,0,0,0,0,0,0,20,20,20,20
20180425,23,17,19,19,20,20,67,50,17,0,11,9,2,0,30,30,30,20
20180426,25,16,19,18,23,17,0,0,0,0,0,0,0,0,20,10,10,20
20180427,22,16,19,18,21,18,0,0,0,0,0,0,0,0,20,20,20,20
20180428,25,16,20,18,24,19,0,0,0,0,0,0,0,0,10,10,10,10
20180429,25,16,20,18,24,20,0,0,0,0,0,0,0,0,10,10,10,10
20180430,25,18,21,20,24,20,0,0,0,0,0,0,0,0,20,10,10,20
20180501,28,18,22,20,26,21,0,0,0,0,0,0,0,0,10,10,10,10
20180502,26,18,21,20,24,20,10,0,0,10,3,0,0,3,30,20,20,30
20180503,27,18,22,22,25,20,13,13,0,0,6,6,0,0,30,30,10,20
20180504,22,15,18,18,21,17,0,0,0,0,0,0,0,0,10,20,10,10
20180505,24,13,19,16,22,19,0,0,0,0,0,0,0,0,10,10,10,10
20180506,26,16,20,18,24,21,3,0,0,3,2,0,0,2,30,10,10,30
20180507,20,14,18,18,19,16,32,1,1,30,10,1,1,8,30,30,30,30
20180508,14,12,13,13,14,13,12,1,1,10,11,2,1,8,30,30,30,30
20180509,15,11,12,11,13,14,42,41,1,0,11,10,1,0,30,30,30,20
20180510,16,12,13,13,14,14,4,0,4,0,1,0,1,0,30,20,30,10
20180511,22,11,17,13,21,18,0,0,0,0,0,0,0,0,10,10,10,20
20180512,25,14,19,17,23,20,0,0,0,0,0,0,0,0,10,10,10,10
20180513,21,15,18,19,20,16,52,0,5,47,7,0,2,5,30,20,30,30
20180514,28,16,21,18,25,22,0,0,0,0,0,0,0,0,10,20,10,10
20180515,28,17,22,20,26,22,0,0,0,0,0,0,0,0,10,10,10,10
20180516,27,19,22,21,26,22,0,0,0,0,0,0,0,0,10,10,10,10
20180517,27,21,23,22,25,23,0,0,0,0,0,0,0,0,20,20,10,20
20180518,29,20,23,22,26,23,0,0,0,0,0,0,0,0,20,10,10,20
20180519,24,16,21,22,23,18,0,0,0,0,0,0,0,0,20,20,20,10
20180520,21,14,17,15,20,17,0,0,0,0,0,0,0,0,10,10,10,10
20180521,26,16,20,18,25,20,0,0,0,0,0,0,0,0,10,10,10,10
20180522,27,16,21,19,25,20,0,0,0,0,0,0,0,0,10,10,10,10
20180523,21,17,19,19,19,18,10,0,2,8,8,0,3,5,30,20,30,30
20180524,26,16,21,18,24,21,7,7,0,0,3,3,0,0,30,30,10,10
20180525,27,19,23,21,25,23,0,0,0,0,0,0,0,0,10,20,10,10
20180526,26,19,22,22,24,21,0,0,0,0,0,0,0,0,20,20,20,20
20180527,27,18,22,19,25,22,0,0,0,0,0,0,0,0,10,20,10,10
20180528,25,20,22,21,24,22,0,0,0,0,0,0,0,0,20,20,20,20
20180529,28,21,23,22,25,22,0,0,0,0,0,0,0,0,20,20,20,10
20180530,24,18,21,21,23,19,11,0,0,11,7,0,0,7,30,20,20,30
20180531,21,17,19,18,20,20,0,0,0,0,0,0,0,0,20,20,20,20
20180601,26,18,22,20,25,21,0,0,0,0,0,0,0,0,10,10,10,10
20180602,27,18,22,20,25,21,0,0,0,0,0,0,0,0,10,20,10,10
20180603,29,18,23,21,27,22,0,0,0,0,0,0,0,0,10,10,10,20
20180604,29,19,24,22,27,23,0,0,0,0,0,0,0,0,10,10,10,10
20180605,28,20,23,22,26,23,0,0,0,0,0,0,0,0,20,20,10,20
20180606,22,19,20,21,20,19,16,2,8,6,16,3,6,7,30,30,30,30
20180607,27,19,22,20,25,22,3,3,0,0,3,3,0,0,30,30,10,10
20180608,27,20,23,22,26,23,3,0,0,3,2,0,0,2,30,20,10,30
20180609,31,22,26,23,30,25,2,2,0,0,2,2,0,0,30,30,10,10
20180610,23,18,20,21,20,19,46,0,12,34,12,0,4,8,30,20,30,30
20180611,21,18,19,18,19,20,42,30,11,1,16,10,5,1,30,30,30,30
20180612,28,20,22,20,25,22,0,0,0,0,0,0,0,0,20,20,10,20
20180613,25,19,22,20,24,21,0,0,0,0,0,0,0,0,20,20,20,20
20180614,25,19,21,21,23,20,0,0,0,0,0,0,0,0,20,20,10,20
20180615,21,17,18,20,18,17,7,1,5,1,5,1,3,1,30,30,30,30
20180616,18,15,16,16,17,16,1,1,0,0,1,1,0,0,30,30,20,20
20180617,24,16,19,17,21,20,0,0,0,0,0,0,0,0,20,20,20,10
20180618,21,18,20,20,20,19,2,0,0,2,3,0,0,3,30,20,20,30
20180619,28,18,23,20,26,23,0,0,0,0,0,0,0,0,10,20,10,10
20180620,22,20,21,21,21,21,36,10,14,12,17,5,4,8,30,30,30,30
20180621,24,19,21,20,22,22,15,15,0,0,4,4,0,0,30,30,20,20
20180622,28,20,23,22,26,23,0,0,0,0,0,0,0,0,10,10,10,10
20180623,23,19,20,21,21,19,18,0,6,12,7,0,3,4,30,20,30,30
20180624,26,19,22,20,24,23,4,3,1,0,4,3,1,0,30,30,30,10
20180625,32,21,26,23,31,25,0,0,0,0,0,0,0,0,10,10,10,10
20180626,30,22,25,24,28,25,0,0,0,0,0,0,0,0,10,20,10,10
20180627,31,24,27,26,29,26,0,0,0,0,0,0,0,0,20,20,10,20
20180628,30,25,26,25,28,26,0,0,0,0,0,0,0,0,20,20,10,20
20180629,30,25,27,26,29,26,0,0,0,0,0,0,0,0,10,10,10,10
20180630,31,25,28,26,30,27,0,0,0,0,0,0,0,0,10,10,10,10
20180701,31,25,28,27,30,27,0,0,0,0,0,0,0,0,10,10,10,10
20180702,32,25,28,26,31,27,0,0,0,0,0,0,0,0,10,10,10,10
20180703,32,25,27,27,30,26,0,0,0,0,0,0,0,0,10,10,10,10
20180704,30,25,27,26,28,26,0,0,0,0,0,0,0,0,20,20,10,20
20180705,28,25,26,26,27,26,1,1,0,0,2,2,0,0,30,30,20,20
20180706,26,20,23,25,24,21,37,18,3,16,13,7,3,3,30,30,30,30
20180707,29,20,25,23,28,26,1,1,0,0,1,1,0,0,30,30,20,20
20180708,32,24,27,26,30,27,0,0,0,0,0,0,0,0,20,20,10,20
20180709,31,25,27,26,30,27,1,1,0,0,1,1,0,0,30,30,10,10
20180710,33,25,28,27,31,28,0,0,0,0,0,0,0,0,10,20,10,10
20180711,33,26,28,27,31,28,0,0,0,0,0,0,0,0,20,20,10,20
20180712,31,24,27,26,28,26,3,3,0,0,3,3,0,0,30,30,20,20
20180713,33,25,28,27,31,28,0,0,0,0,0,0,0,0,20,20,10,20
20180714,36,26,30,28,34,29,0,0,0,0,0,0,0,0,10,10,10,10
20180715,34,27,29,28,33,28,0,0,0,0,0,0,0,0,20,20,10,20
20180716,33,27,29,28,31,28,0,0,0,0,0,0,0,0,10,10,10,10
20180717,33,27,29,28,32,28,0,0,0,0,0,0,0,0,10,20,10,10
20180718,34,27,30,29,33,29,0,0,0,0,0,0,0,0,10,20,10,10
20180719,34,27,29,28,32,29,0,0,0,0,0,0,0,0,10,10,10,10
20180720,34,27,29,28,32,29,0,0,0,0,0,0,0,0,10,10,10,10
20180721,33,27,30,29,32,29,0,0,0,0,0,0,0,0,10,10,10,10
20180722,35,27,30,29,33,30,0,0,0,0,0,0,0,0,20,10,10,20
20180723,37,28,31,30,35,31,0,0,0,0,0,0,0,0,10,20,10,10
20180724,35,27,30,28,33,29,0,0,0,0,0,0,0,0,10,20,10,10
20180725,33,26,29,28,32,28,0,0,0,0,0,0,0,0,20,20,10,20
20180726,30,25,27,26,28,26,0,0,0,0,0,0,0,0,20,20,20,20
20180727,30,24,26,25,28,25,0,0,0,0,0,0,0,0,20,10,10,20
20180728,28,20,24,21,26,26,53,20,13,20,14,7,3,4,30,30,30,30
20180729,33,25,28,27,32,28,7,7,0,0,4,4,0,0,30,30,10,10
20180730,33,26,28,27,31,28,0,0,0,0,0,0,0,0,10,20,10,10
20180731,34,25,29,27,32,28,0,0,0,0,0,0,0,0,10,20,10,10
20180801,35,26,30,28,34,30,0,0,0,0,0,0,0,0,10,10,10,10
20180802,36,27,31,29,34,30,0,0,0,0,0,0,0,0,20,10,10,20
20180803,36,27,30,29,34,29,0,0,0,0,0,0,0,0,20,20,10,20
20180804,34,27,30,28,32,29,0,0,0,0,0,0,0,0,10,20,10,10
20180805,35,27,30,29,33,30,0,0,0,0,0,0,0,0,10,20,10,10
20180806,33,25,29,29,32,27,0,0,0,0,0,0,0,0,20,20,10,20
20180807,25,22,23,23,23,23,4,3,0,1,6,4,0,2,30,30,20,30
20180808,25,22,24,23,25,25,29,2,5,22,14,2,4,8,30,30,30,30
20180809,32,24,27,25,30,28,5,5,0,0,5,5,0,0,30,30,10,20
20180810,34,27,29,29,32,28,0,0,0,0,0,0,0,0,10,10,10,10
20180811,34,27,30,28,33,29,0,0,0,0,0,0,0,0,10,10,10,20
20180812,30,26,27,27,28,28,31,31,0,0,3,3,0,0,30,30,20,10
20180813,34,26,28,28,31,27,0,0,0,0,0,0,0,0,20,20,10,20
20180814,33,26,29,28,32,29,0,0,0,0,0,0,0,0,10,20,10,10
20180815,33,27,29,29,31,28,0,0,0,0,0,0,0,0,10,10,10,10
20180816,32,27,28,28,30,28,0,0,0,0,0,0,0,0,20,20,10,20
20180817,30,23,26,26,29,25,1,1,0,0,1,1,0,0,30,30,10,10
20180818,28,20,23,22,26,23,0,0,0,0,0,0,0,0,10,20,10,10
20180819,29,20,24,22,27,24,0,0,0,0,0,0,0,0,20,20,10,20
20180820,27,23,25,24,25,25,0,0,0,0,0,0,0,0,20,20,20,20
20180821,33,24,28,26,32,28,0,0,0,0,0,0,0,0,10,20,10,10
20180822,34,27,29,28,33,28,0,0,0,0,0,0,0,0,10,20,10,10
20180823,33,27,29,28,31,29,0,0,0,0,0,0,0,0,10,10,10,20
20180824,30,27,28,28,29,28,8,6,2,0,7,6,1,0,30,30,30,10
20180825,34,27,30,29,33,30,0,0,0,0,0,0,0,0,10,10,10,10
20180826,36,28,31,30,35,30,0,0,0,0,0,0,0,0,10,10,10,10
20180827,36,25,30,29,34,28,2,0,0,2,1,0,0,1,30,20,10,30
20180828,32,25,27,26,30,27,0,0,0,0,0,0,0,0,20,20,10,20
20180829,30,25,27,26,28,27,0,0,0,0,0,0,0,0,20,20,20,10
20180830,33,26,29,27,31,28,0,0,0,0,0,0,0,0,20,20,10,20
20180831,35,26,30,29,33,28,0,0,0,0,0,0,0,0,10,10,10,10
20180901,31,23,28,27,30,27,11,0,0,11,1,0,0,1,30,20,20,30
20180902,24,21,23,22,23,23,7,6,1,0,3,2,1,0,30,30,30,20
20180903,28,22,24,23,25,25,13,12,1,0,3,2,1,0,30,30,30,10
20180904,30,24,27,25,29,28,24,21,3,0,8,6,2,0,30,30,30,20
20180905,31,22,27,26,30,27,22,22,0,0,4,4,0,0,30,30,10,10
20180906,31,26,27,27,29,27,0,0,0,0,0,0,0,0,20,10,10,20
20180907,31,25,27,26,29,27,1,1,0,0,1,1,0,0,30,30,20,20
20180908,32,26,28,27,30,27,0,0,0,0,0,0,0,0,10,10,10,10
20180909,32,26,28,27,30,27,0,0,0,0,0,0,0,0,10,20,10,10
20180910,30,22,25,26,27,23,46,5,1,40,12,4,1,7,30,30,30,30
20180911,25,21,22,22,24,22,1,1,0,0,1,1,0,0,30,30,20,20
20180912,25,19,22,21,24,21,1,0,0,1,1,0,0,1,30,20,20,30
20180913,26,19,23,20,25,24,0,0,0,0,0,0,0,0,20,20,20,20
20180914,23,19,22,22,22,21,18,4,3,11,12,4,4,4,30,30,30,30
20180915,22,19,21,20,21,21,20,15,5,0,10,6,4,0,30,30,30,20
20180916,26,21,23,21,25,23,1,1,0,0,1,1,0,0,30,30,20,10
20180917,31,21,25,24,30,23,32,0,0,32,5,0,0,5,30,20,10,30
20180918,29,21,24,22,27,24,12,2,0,10,5,2,0,3,30,30,10,30
20180919,27,20,23,21,26,23,0,0,0,0,0,0,0,0,10,20,10,10
20180920,24,16,20,22,21,18,34,0,8,26,11,0,3,8,30,20,30,30
20180921,20,16,18,17,18,19,18,8,8,2,16,8,5,3,30,30,30,30
20180922,26,20,22,21,24,23,0,0,0,0,0,0,0,0,20,20,10,10
20180923,28,23,25,24,27,24,0,0,0,0,0,0,0,0,10,20,10,10
20180924,29,23,25,23,27,25,0,0,0,0,0,0,0,0,10,20,10,10
20180925,24,19,22,23,21,20,24,1,19,4,9,1,4,4,30,30,30,30
20180926,20,16,18,18,18,17,33,2,4,27,12,3,1,8,30,30,30,30
20180927,18,15,16,16,17,17,16,15,1,0,7,6,1,0,30,30,30,20
20180928,26,15,20,17,25,21,0,0,0,0,0,0,0,0,10,10,10,10
20180929,21,18,19,20,19,18,11,0,7,4,10,0,5,5,30,20,30,30
20180930,27,17,21,18,22,24,42,24,5,13,14,7,2,5,30,30,30,30
20181001,31,21,26,26,29,23,9,9,0,0,2,2,0,0,30,30,10,10
20181002,27,19,22,21,26,22,0,0,0,0,0,0,0,0,10,20,10,10
20181003,23,18,21,20,22,21,0,0,0,0,0,0,0,0,20,20,20,20
20181004,22,20,21,21,21,20,0,0,0,0,0,0,0,0,20,20,20,20
20181005,20,18,19,19,19,19,8,0,4,4,9,0,4,5,30,20,30,30
20181006,29,18,24,20,28,26,0,0,0,0,0,0,0,0,10,20,10,10
20181007,32,24,27,26,31,26,0,0,0,0,0,0,0,0,10,20,10,10
20181008,24,21,22,23,23,21,0,0,0,0,0,0,0,0,20,20,20,10
20181009,27,19,22,21,26,22,0,0,0,0,0,0,0,0,10,20,10,10
20181010,27,20,23,21,25,23,2,0,0,2,1,0,0,1,30,20,10,30
20181011,25,20,22,21,23,23,1,1,0,0,1,1,0,0,30,30,10,10
20181012,24,19,21,20,22,20,0,0,0,0,0,0,0,0,20,20,20,20
20181013,19,16,18,18,18,17,1,0,0,1,1,0,0,1,30,20,20,30
20181014,21,14,17,14,19,18,10,10,0,0,8,8,0,0,30,30,20,10
20181015,21,17,19,18,20,19,0,0,0,0,0,0,0,0,20,20,20,20
20181016,22,16,19,17,21,19,0,0,0,0,0,0,0,0,20,20,20,20
20181017,24,16,19,17,22,18,1,1,0,0,2,2,0,0,30,30,10,20
20181018,22,15,18,17,21,18,0,0,0,0,0,0,0,0,20,20,10,20
20181019,20,16,17,16,19,17,0,0,0,0,0,0,0,0,20,20,20,20
20181020,23,15,17,16,21,16,13,0,0,13,4,0,0,4,30,20,10,30
20181021,22,15,18,16,21,17,0,0,0,0,0,0,0,0,10,20,10,10
20181022,22,13,17,14,21,18,0,0,0,0,0,0,0,0,10,20,10,10
20181023,17,13,15,15,16,16,1,1,0,0,1,1,0,0,30,30,20,20
20181024,23,15,18,16,21,19,0,0,0,0,0,0,0,0,10,20,10,10
20181025,22,16,19,18,21,18,0,0,0,0,0,0,0,0,10,20,10,10
20181026,21,16,18,17,20,19,0,0,0,0,0,0,0,0,20,20,20,20
20181027,25,16,20,18,23,20,21,21,0,0,7,7,0,0,30,30,10,10
20181028,22,16,18,17,20,17,0,0,0,0,0,0,0,0,10,20,10,10
20181029,23,13,18,16,22,18,0,0,0,0,0,0,0,0,10,20,10,10
20181030,24,14,18,16,22,18,0,0,0,0,0,0,0,0,10,20,10,10
20181031,21,13,16,15,19,16,0,0,0,0,0,0,0,0,20,20,10,20
20181101,20,12,15,13,18,15,0,0,0,0,0,0,0,0,10,20,10,10
20181102,19,11,15,13,18,15,0,0,0,0,0,0,0,0,10,20,10,10
20181103,20,11,16,13,18,17,0,0,0,0,0,0,0,0,20,20,10,20
20181104,16,14,15,15,15,15,2,0,2,0,2,0,2,0,30,20,30,20
20181105,21,15,18,16,20,19,0,0,0,0,0,0,0,0,20,20,20,20
20181106,20,16,18,18,18,17,32,0,22,10,9,0,5,4,30,20,30,30
20181107,20,16,17,17,19,17,0,0,0,0,0,0,0,0,20,20,20,10
20181108,21,14,17,15,20,18,0,0,0,0,0,0,0,0,20,20,10,20
20181109,17,15,16,15,17,17,7,2,3,2,6,2,2,2,30,30,30,30
20181110,23,15,18,16,22,18,1,0,0,1,1,0,0,1,30,20,10,30
20181111,20,15,17,16,19,17,0,0,0,0,0,0,0,0,10,20,10,10
20181112,19,13,16,15,18,17,1,1,0,0,1,1,0,0,30,30,10,20
20181113,17,14,16,16,17,15,2,1,0,1,2,1,0,1,30,30,20,30
20181114,17,12,14,13,16,14,1,1,0,0,1,1,0,0,30,30,10,10
20181115,17,9,13,11,16,13,0,0,0,0,0,0,0,0,10,20,10,10
20181116,18,9,13,11,16,14,0,0,0,0,0,0,0,0,10,20,10,10
20181117,21,12,16,13,19,16,0,0,0,0,0,0,0,0,10,20,10,10
20181118,18,12,15,13,16,15,0,0,0,0,0,0,0,0,20,20,10,20
20181119,16,12,14,14,15,14,3,0,0,3,4,0,0,4,30,20,20,30
20181120,15,10,13,12,14,12,0,0,0,0,0,0,0,0,10,20,10,10
20181121,17,8,13,10,16,14,2,0,0,2,2,0,0,2,30,20,10,30
20181122,14,9,12,11,14,13,6,6,0,0,3,3,0,0,30,30,20,20
20181123,16,9,12,11,14,12,0,0,0,0,0,0,0,0,10,20,10,10
20181124,14,9,11,10,12,10,0,0,0,0,0,0,0,0,10,20,10,10
20181125,15,7,11,8,14,12,0,0,0,0,0,0,0,0,10,20,10,10
20181126,17,9,13,10,16,15,0,0,0,0,0,0,0,0,20,20,10,20
20181127,18,11,14,12,17,14,3,3,0,0,3,3,0,0,30,30,10,10
20181128,18,11,15,12,17,16,0,0,0,0,0,0,0,0,10,20,10,10
20181129,16,12,13,13,15,13,1,1,0,0,1,1,0,0,30,30,10,20
20181130,16,10,13,11,15,14,0,0,0,0,0,0,0,0,10,20,10,10
20181201,18,9,13,10,17,13,0,0,0,0,0,0,0,0,10,20,10,10
