nichi,group_mise,uriage_param
20180301,X,0.58781
20180301,Y,0.66051
20180301,Z,0.43795
20180302,X,0.59172
20180302,Y,0.64196
20180302,Z,0.35663
20180305,X,0.62048
20180305,Y,0.70267
20180305,Z,0.52132
20180306,X,0.58751
20180306,Y,0.68285
20180306,Z,0.40173
20180307,X,0.61003
20180307,Y,0.60792
20180307,Z,0.41872
20180308,X,0.60933
20180308,Y,0.60081
20180308,Z,0.48686
20180309,X,0.61544
20180309,Y,0.63403
20180309,Z,0.39898
20180312,X,0.58304
20180312,Y,0.70944
20180312,Z,0.50143
20180313,X,0.59986
20180313,Y,0.6595
20180313,Z,0.41887
20180314,X,0.68021
20180314,Y,0.72159
20180314,Z,0.42387
20180315,X,0.60903
20180315,Y,0.64459
20180315,Z,0.40601
20180316,X,0.6988
20180316,Y,0.64279
20180316,Z,0.42389
20180319,X,0.61097
20180319,Y,0.76448
20180319,Z,0.46959
20180320,X,0.59346
20180320,Y,0.65188
20180320,Z,0.4147
20180322,X,0.56641
20180322,Y,0.63855
20180322,Z,0.37695
20180323,X,0.5558
20180323,Y,0.61224
20180323,Z,0.333
20180326,X,0.57008
20180326,Y,0.67058
20180326,Z,0.40349
20180327,X,0.57959
20180327,Y,0.66648
20180327,Z,0.36514
20180328,X,0.59526
20180328,Y,0.64558
20180328,Z,0.37708
20180329,X,0.57441
20180329,Y,0.71745
20180329,Z,0.36871
20180330,X,0.57366
20180330,Y,0.67135
20180330,Z,0.31936
20180402,X,1
20180402,Y,0.73679
20180402,Z,0.50922
20180403,X,0.55323
20180403,Y,0.74748
20180403,Z,0.41209
20180404,X,0.57806
20180404,Y,0.69903
20180404,Z,0.41307
20180405,X,0.59822
20180405,Y,0.71107
20180405,Z,0.41352
20180406,X,0.56615
20180406,Y,0.67016
20180406,Z,0.37229
20180409,X,0.54519
20180409,Y,0.72214
20180409,Z,0.5317
20180410,X,0.6077
20180410,Y,0.69146
20180410,Z,0.41767
20180411,X,0.55507
20180411,Y,0.69183
20180411,Z,0.39483
20180412,X,0.57072
20180412,Y,0.73474
20180412,Z,0.42312
20180413,X,0.52078
20180413,Y,0.72616
20180413,Z,0.38864
20180416,X,0.55853
20180416,Y,0.73518
20180416,Z,0.43332
20180417,X,0.54089
20180417,Y,0.72093
20180417,Z,0.42634
20180418,X,0.59952
20180418,Y,0.65625
20180418,Z,0.4395
20180419,X,0.58149
20180419,Y,0.73916
20180419,Z,0.41608
20180420,X,0.53187
20180420,Y,0.73119
20180420,Z,0.39167
20180423,X,0.56493
20180423,Y,0.73989
20180423,Z,0.48317
20180424,X,0.55774
20180424,Y,0.72941
20180424,Z,0.40151
20180425,X,0.6045
20180425,Y,0.61031
20180425,Z,0.48101
20180426,X,0.54742
20180426,Y,0.75157
20180426,Z,0.40259
20180427,X,0.52703
20180427,Y,0.67131
20180427,Z,0.37878
20180501,X,0.4458
20180501,Y,0.49541
20180501,Z,0.39988
20180502,X,0.44862
20180502,Y,0.50326
20180502,Z,0.36037
20180507,X,0.55225
20180507,Y,0.80517
20180507,Z,0.5056
20180508,X,0.53834
20180508,Y,0.71414
20180508,Z,0.41347
20180509,X,0.56062
20180509,Y,0.60707
20180509,Z,0.42423
20180510,X,0.57423
20180510,Y,0.71982
20180510,Z,0.43281
20180511,X,0.56088
20180511,Y,0.72169
20180511,Z,0.3799
20180514,X,0.6109
20180514,Y,0.74924
20180514,Z,0.45117
20180515,X,0.57693
20180515,Y,0.78381
20180515,Z,0.40301
20180516,X,0.57035
20180516,Y,0.72222
20180516,Z,0.42906
20180517,X,0.57754
20180517,Y,0.7141
20180517,Z,0.4
20180518,X,0.64798
20180518,Y,0.75414
20180518,Z,0.43031
20180521,X,0.75903
20180521,Y,0.78911
20180521,Z,0.53241
20180522,X,0.62786
20180522,Y,0.7593
20180522,Z,0.43335
20180523,X,0.7006
20180523,Y,0.81933
20180523,Z,0.50351
20180524,X,0.62689
20180524,Y,0.74157
20180524,Z,0.4774
20180525,X,0.62364
20180525,Y,0.81303
20180525,Z,0.4375
20180528,X,0.7347
20180528,Y,0.77005
20180528,Z,0.4684
20180529,X,0.68736
20180529,Y,0.72903
20180529,Z,0.49269
20180530,X,0.73551
20180530,Y,0.77304
20180530,Z,0.49623
20180531,X,0.90551
20180531,Y,0.73012
20180531,Z,0.45987
20180601,X,0.67094
20180601,Y,0.77127
20180601,Z,0.40502
20180604,X,0.67797
20180604,Y,0.81541
20180604,Z,0.5163
20180605,X,0.55266
20180605,Y,0.76843
20180605,Z,0.4277
20180606,X,0.58205
20180606,Y,0.67312
20180606,Z,0.48327
20180607,X,0.62133
20180607,Y,0.77719
20180607,Z,0.45009
20180608,X,0.63652
20180608,Y,0.70008
20180608,Z,0.38437
20180611,X,0.56378
20180611,Y,0.64572
20180611,Z,0.51876
20180612,X,0.578
20180612,Y,0.75157
20180612,Z,0.43141
20180613,X,0.54435
20180613,Y,0.72002
20180613,Z,0.46084
20180614,X,0.55384
20180614,Y,0.70608
20180614,Z,0.43497
20180615,X,0.57877
20180615,Y,0.68606
20180615,Z,0.59427
20180618,X,0.54885
20180618,Y,0.78207
20180618,Z,0.53354
20180619,X,0.53208
20180619,Y,0.75341
20180619,Z,0.4289
20180620,X,0.56884
20180620,Y,0.61051
20180620,Z,0.53592
20180621,X,0.54427
20180621,Y,0.74836
20180621,Z,0.47119
20180622,X,0.53337
20180622,Y,0.7405
20180622,Z,0.41936
20180625,X,0.54103
20180625,Y,0.79701
20180625,Z,0.4777
20180626,X,0.58008
20180626,Y,0.77801
20180626,Z,0.46441
20180627,X,0.54591
20180627,Y,0.74261
20180627,Z,0.45798
20180628,X,0.56545
20180628,Y,0.76741
20180628,Z,0.44026
20180629,X,0.57925
20180629,Y,0.74357
20180629,Z,0.41766
20180702,X,0.67077
20180702,Y,0.89764
20180702,Z,0.53324
20180703,X,0.7217
20180703,Y,0.79177
20180703,Z,0.48863
20180704,X,0.60467
20180704,Y,0.80998
20180704,Z,0.51487
20180705,X,0.62499
20180705,Y,0.78072
20180705,Z,0.57938
20180706,X,0.63961
20180706,Y,0.77146
20180706,Z,0.51828
20180709,X,0.80913
20180709,Y,0.86644
20180709,Z,0.54939
20180710,X,0.63456
20180710,Y,0.82007
20180710,Z,0.49032
20180711,X,0.62848
20180711,Y,0.84948
20180711,Z,0.49325
20180712,X,0.60228
20180712,Y,0.84536
20180712,Z,0.51066
20180713,X,0.64771
20180713,Y,0.81647
20180713,Z,0.42569
20180717,X,0.70069
20180717,Y,0.81396
20180717,Z,0.55189
20180718,X,0.61182
20180718,Y,0.79161
20180718,Z,0.46352
20180719,X,0.64444
20180719,Y,0.79702
20180719,Z,0.45811
20180720,X,0.60056
20180720,Y,0.74941
20180720,Z,0.42207
20180723,X,0.62709
20180723,Y,0.78138
20180723,Z,0.46395
20180724,X,0.64151
20180724,Y,0.74222
20180724,Z,0.38506
20180725,X,0.60376
20180725,Y,0.74017
20180725,Z,0.42998
20180726,X,0.62155
20180726,Y,0.75458
20180726,Z,0.50834
20180727,X,0.59136
20180727,Y,0.72197
20180727,Z,0.3815
20180730,X,0.59491
20180730,Y,0.79113
20180730,Z,0.50874
20180731,X,0.61622
20180731,Y,0.78669
20180731,Z,0.46975
20180801,X,0.82021
20180801,Y,0.81943
20180801,Z,0.48129
20180802,X,0.63825
20180802,Y,0.80156
20180802,Z,0.44463
20180803,X,0.64032
20180803,Y,0.799
20180803,Z,0.46529
20180806,X,0.63071
20180806,Y,0.83211
20180806,Z,0.56864
20180807,X,0.63512
20180807,Y,0.72364
20180807,Z,0.48929
20180808,X,0.5813
20180808,Y,0.6169
20180808,Z,0.43821
20180809,X,0.60115
20180809,Y,0.74653
20180809,Z,0.42312
20180810,X,0.55756
20180810,Y,0.72996
20180810,Z,0.46326
20180813,X,0.47326
20180813,Y,0.62914
20180813,Z,0.45695
20180814,X,0.52816
20180814,Y,0.61829
20180814,Z,0.4417
20180815,X,0.5215
20180815,Y,0.60711
20180815,Z,0.41128
20180816,X,0.54703
20180816,Y,0.62726
20180816,Z,0.41241
20180817,X,0.52273
20180817,Y,0.60515
20180817,Z,0.38459
20180820,X,0.57011
20180820,Y,0.77449
20180820,Z,0.49081
20180821,X,0.57608
20180821,Y,0.77061
20180821,Z,0.43398
20180822,X,0.56557
20180822,Y,0.7477
20180822,Z,0.4558
20180823,X,0.5989
20180823,Y,0.79983
20180823,Z,0.4754
20180824,X,0.56752
20180824,Y,0.70995
20180824,Z,0.41356
20180827,X,0.55747
20180827,Y,0.80816
20180827,Z,0.48603
20180828,X,0.58981
20180828,Y,0.77392
20180828,Z,0.42604
20180829,X,0.60249
20180829,Y,0.78468
20180829,Z,0.42439
20180830,X,0.60015
20180830,Y,0.79861
20180830,Z,0.4341
20180831,X,0.57842
20180831,Y,0.8022
20180831,Z,0.39352
20180903,X,0.59316
20180903,Y,0.81418
20180903,Z,0.50538
20180904,X,0.60584
20180904,Y,0.69544
20180904,Z,0.46874
20180905,X,0.5859
20180905,Y,0.77277
20180905,Z,0.45147
20180906,X,0.5818
20180906,Y,0.8183
20180906,Z,0.5189
20180907,X,0.56681
20180907,Y,0.77696
20180907,Z,0.41046
20180910,X,0.63885
20180910,Y,0.81465
20180910,Z,0.55927
20180911,X,0.62331
20180911,Y,0.75156
20180911,Z,0.46054
20180912,X,0.62836
20180912,Y,0.77223
20180912,Z,0.4765
20180913,X,0.6539
20180913,Y,0.76138
20180913,Z,0.45002
20180914,X,0.59714
20180914,Y,0.7089
20180914,Z,0.46099
20180918,X,0.62178
20180918,Y,0.78716
20180918,Z,0.51944
20180919,X,0.61005
20180919,Y,0.8107
20180919,Z,0.49019
20180920,X,0.66226
20180920,Y,0.74855
20180920,Z,0.55458
20180921,X,0.65957
20180921,Y,0.67062
20180921,Z,0.55718
20180925,X,0.65485
20180925,Y,0.73421
20180925,Z,0.68873
20180926,X,0.65585
20180926,Y,0.74835
20180926,Z,0.52021
20180927,X,0.74807
20180927,Y,0.79936
20180927,Z,0.58968
20180928,X,0.65476
20180928,Y,0.7989
20180928,Z,0.47658
20181001,X,0.60742
20181001,Y,0.7687
20181001,Z,0.57539
20181002,X,0.61239
20181002,Y,0.78728
20181002,Z,0.50314
20181003,X,0.64492
20181003,Y,0.79508
20181003,Z,0.50658
20181004,X,0.65269
20181004,Y,0.79648
20181004,Z,0.53977
20181005,X,0.62934
20181005,Y,0.72038
20181005,Z,0.52309
20181009,X,0.68336
20181009,Y,0.79466
20181009,Z,0.5181
20181010,X,0.64639
20181010,Y,0.78622
20181010,Z,0.51033
20181011,X,0.63281
20181011,Y,0.78528
20181011,Z,0.55138
20181012,X,0.6365
20181012,Y,0.78057
20181012,Z,0.47256
20181015,X,0.61676
20181015,Y,0.84144
20181015,Z,0.58042
20181016,X,0.62908
20181016,Y,0.76749
20181016,Z,0.50162
20181017,X,0.60603
20181017,Y,0.7494
20181017,Z,0.49521
20181018,X,0.61867
20181018,Y,0.8275
20181018,Z,0.52962
20181019,X,0.60047
20181019,Y,0.75514
20181019,Z,0.46111
20181022,X,0.61424
20181022,Y,0.81962
20181022,Z,0.56765
20181023,X,0.63317
20181023,Y,0.77912
20181023,Z,0.5327
20181024,X,0.66883
20181024,Y,0.80904
20181024,Z,0.5164
20181025,X,0.73233
20181025,Y,0.78828
20181025,Z,0.55597
20181026,X,0.60324
20181026,Y,0.75952
20181026,Z,0.48492
20181029,X,0.65414
20181029,Y,0.8628
20181029,Z,0.60521
20181030,X,0.68754
20181030,Y,0.80005
20181030,Z,0.52192
20181031,X,0.6618
20181031,Y,0.81567
20181031,Z,0.60353
20181101,X,0.68029
20181101,Y,0.83117
20181101,Z,0.5481
20181102,X,0.8088
20181102,Y,0.80046
20181102,Z,0.52227
20181105,X,0.74288
20181105,Y,0.98609
20181105,Z,0.59486
20181106,X,0.74937
20181106,Y,0.83998
20181106,Z,0.61297
20181107,X,0.67465
20181107,Y,0.85321
20181107,Z,0.55952
20181108,X,0.71957
20181108,Y,0.82345
20181108,Z,0.56584
20181109,X,0.69241
20181109,Y,0.80472
20181109,Z,0.53373
20181112,X,0.69366
20181112,Y,0.89617
20181112,Z,0.63335
20181113,X,0.65319
20181113,Y,0.77915
20181113,Z,0.54933
20181114,X,0.63407
20181114,Y,0.80342
20181114,Z,0.54482
20181115,X,0.63285
20181115,Y,0.82624
20181115,Z,0.50548
20181116,X,0.63049
20181116,Y,0.78846
20181116,Z,0.50919
20181119,X,0.66756
20181119,Y,0.83176
20181119,Z,0.57923
20181120,X,0.66297
20181120,Y,0.75837
20181120,Z,0.55196
20181121,X,0.64798
20181121,Y,0.81029
20181121,Z,0.5426
20181122,X,0.61015
20181122,Y,0.81922
20181122,Z,0.52154
20181126,X,0.62259
20181126,Y,0.81512
20181126,Z,0.55106
20181127,X,0.62295
20181127,Y,0.76606
20181127,Z,0.55515
20181128,X,0.79277
20181128,Y,0.77932
20181128,Z,0.55525
20181129,X,0.62264
20181129,Y,0.8371
20181129,Z,0.51877
20181130,X,0.67845
20181130,Y,0.76855
20181130,Z,0.4839
20181203,X,0.66559
20181203,Y,0.8929
20181203,Z,0.62153
20181204,X,0.65444
20181204,Y,0.86681
20181204,Z,0.53917
20181205,X,0.61601
20181205,Y,0.81574
20181205,Z,0.54887
20181206,X,0.67967
20181206,Y,0.71592
20181206,Z,0.58047
20181207,X,0.60205
20181207,Y,0.8534
20181207,Z,0.48442
20181210,X,0.65869
20181210,Y,0.82579
20181210,Z,0.58639
20181211,X,0.66355
20181211,Y,0.8076
20181211,Z,0.53348
20181212,X,0.63243
20181212,Y,0.74936
20181212,Z,0.56573
20181213,X,0.66302
20181213,Y,0.79978
20181213,Z,0.56407
20181214,X,0.64003
20181214,Y,0.76528
20181214,Z,0.48225
20181217,X,0.64809
20181217,Y,0.80709
20181217,Z,0.66337
20181218,X,0.6269
20181218,Y,0.77422
20181218,Z,0.53925
20181219,X,0.63317
20181219,Y,0.78334
20181219,Z,0.55785
20181220,X,0.67552
20181220,Y,0.82879
20181220,Z,0.52833
20181221,X,0.63673
20181221,Y,0.78874
20181221,Z,0.67612
20181225,X,0.63356
20181225,Y,0.86789
20181225,Z,0.56116
20181226,X,0.65135
20181226,Y,0.79291
20181226,Z,0.58548
20181227,X,0.50478
20181227,Y,1
20181227,Z,0.59129
20190107,X,0.58888
20190107,Y,0.77616
20190107,Z,0.56555
20190108,X,0.60551
20190108,Y,0.76002
20190108,Z,0.56372
20190109,X,0.61495
20190109,Y,0.75635
20190109,Z,0.49443
20190110,X,0.64806
20190110,Y,0.75974
20190110,Z,0.5358
20190111,X,0.62334
20190111,Y,0.78845
20190111,Z,0.50301
20190115,X,0.64296
20190115,Y,0.74694
20190115,Z,0.56811
20190116,X,0.6157
20190116,Y,0.73742
20190116,Z,0.53998
20190117,X,0.59438
20190117,Y,0.78389
20190117,Z,0.56929
20190118,X,0.59874
20190118,Y,0.76285
20190118,Z,0.49927
20190121,X,0.59956
20190121,Y,0.78675
20190121,Z,0.54992
20190122,X,0.64505
20190122,Y,0.7486
20190122,Z,0.493
20190123,X,0.62246
20190123,Y,0.75705
20190123,Z,0.53554
20190124,X,0.63233
20190124,Y,0.77829
20190124,Z,0.5737
20190125,X,0.63273
20190125,Y,0.74683
20190125,Z,0.45731
20190128,X,0.63186
20190128,Y,0.78881
20190128,Z,0.55763
20190129,X,0.6109
20190129,Y,0.76768
20190129,Z,0.54353
20190130,X,0.60589
20190130,Y,0.73823
20190130,Z,0.50718
20190131,X,0.62689
20190131,Y,0.79341
20190131,Z,0.52412
20190201,X,0.66009
20190201,Y,0.76683
20190201,Z,0.52487
20190204,X,0.61513
20190204,Y,0.80868
20190204,Z,0.5638
20190205,X,0.65105
20190205,Y,0.72714
20190205,Z,0.55026
20190206,X,0.66771
20190206,Y,0.68759
20190206,Z,0.59345
20190207,X,0.65505
20190207,Y,0.79933
20190207,Z,0.53688
20190208,X,0.67968
20190208,Y,0.74918
20190208,Z,0.49008
20190212,X,0.64539
20190212,Y,0.75421
20190212,Z,0.55024
20190213,X,0.62417
20190213,Y,0.72529
20190213,Z,0.52138
20190214,X,0.64187
20190214,Y,0.73057
20190214,Z,0.52581
20190215,X,0.59739
20190215,Y,0.68792
20190215,Z,0.52167
20190218,X,0.60754
20190218,Y,0.7998
20190218,Z,0.57752
20190219,X,0.64944
20190219,Y,0.73753
20190219,Z,0.54375
20190220,X,0.61528
20190220,Y,0.74866
20190220,Z,0.48517
20190221,X,0.62277
20190221,Y,0.77381
20190221,Z,0.52111
20190222,X,0.61021
20190222,Y,0.70836
20190222,Z,0.47084
20190225,X,0.64054
20190225,Y,0.79755
20190225,Z,0.57861
20190226,X,0.63902
20190226,Y,0.78808
20190226,Z,0.506
20190227,X,0.61269
20190227,Y,0.7514
20190227,Z,0.50273
20190228,X,0.65214
20190228,Y,0.72123
20190228,Z,0.55968
20190301,X,0.62019
20190301,Y,0.74545
20190301,Z,0.51607
20190304,X,0.65825
20190304,Y,0.72704
20190304,Z,0.61969
20190305,X,0.64056
20190305,Y,0.79426
20190305,Z,0.5483
20190306,X,0.63638
20190306,Y,0.78892
20190306,Z,0.52454
20190307,X,0.65522
20190307,Y,0.73256
20190307,Z,0.57372
20190308,X,0.64009
20190308,Y,0.76597
20190308,Z,0.50549
20190311,X,0.62561
20190311,Y,0.82139
20190311,Z,0.56098
20190312,X,0.64355
20190312,Y,0.81052
20190312,Z,0.49209
20190313,X,0.63432
20190313,Y,0.7777
20190313,Z,0.50431
20190314,X,0.66066
20190314,Y,0.82619
20190314,Z,0.50565
20190315,X,0.62081
20190315,Y,0.7727
20190315,Z,0.47441
20190318,X,0.63976
20190318,Y,0.8352
20190318,Z,0.58234
20190319,X,0.6314
20190319,Y,0.77662
20190319,Z,0.47597
20190320,X,0.60345
20190320,Y,0.78727
20190320,Z,0.46122
20190322,X,0.57773
20190322,Y,0.63124
20190322,Z,0.43061
20190325,X,0.61794
20190325,Y,0.79689
20190325,Z,0.51487
20190326,X,0.59029
20190326,Y,0.74964
20190326,Z,0.50134
20190327,X,0.60694
20190327,Y,0.75888
20190327,Z,0.45773
20190328,X,0.62104
20190328,Y,0.82506
20190328,Z,0.46532
20190329,X,0.61393
20190329,Y,0.74437
20190329,Z,0.4356
20190401,X,0.66398
20190401,Y,0.86745
20190401,Z,0.64861
20190402,X,0.63999
20190402,Y,0.82393
20190402,Z,0.57654
20190403,X,0.62494
20190403,Y,0.78118
20190403,Z,0.58862
20190404,X,0.64351
20190404,Y,0.82593
20190404,Z,0.6868
20190405,X,0.60546
20190405,Y,0.80551
20190405,Z,0.54537
20190408,X,0.62565
20190408,Y,0.7669
20190408,Z,0.71254
20190409,X,0.64606
20190409,Y,0.83535
20190409,Z,0.5561
20190410,X,0.68106
20190410,Y,0.67716
20190410,Z,0.61128
20190411,X,0.63332
20190411,Y,0.81545
20190411,Z,0.56392
20190412,X,0.63208
20190412,Y,0.75697
20190412,Z,0.51328
20190415,X,0.64148
20190415,Y,0.86707
20190415,Z,0.65612
20190416,X,0.63073
20190416,Y,0.83736
20190416,Z,0.56653
20190417,X,0.61271
20190417,Y,0.8276
20190417,Z,0.51064
20190418,X,0.6322
20190418,Y,0.85711
20190418,Z,0.5526
20190419,X,0.59581
20190419,Y,0.81152
20190419,Z,0.51121
20190422,X,0.60712
20190422,Y,0.87384
20190422,Z,0.66685
20190423,X,0.63905
20190423,Y,0.83842
20190423,Z,0.57921
20190424,X,0.64748
20190424,Y,0.86549
20190424,Z,0.58046
20190425,X,0.64016
20190425,Y,0.85861
