nichi,group_mise,uriage_param
20190425,Z,0.5992
20190426,X,0.61915
20190426,Y,0.7659
20190426,Z,0.56255
20190507,X,0.56779
20190507,Y,0.8413
20190507,Z,0.60681
20190508,X,0.56368
20190508,Y,0.79843
20190508,Z,0.56139
20190509,X,0.57317
20190509,Y,0.82772
20190509,Z,0.56397
20190510,X,0.57216
20190510,Y,0.81516
20190510,Z,0.50418
20190513,X,0.58719
20190513,Y,0.82377
20190513,Z,0.6323
20190514,X,0.61648
20190514,Y,0.76588
20190514,Z,0.59924
20190515,X,0.57008
20190515,Y,0.84982
20190515,Z,0.56613
20190516,X,0.62262
20190516,Y,0.82338
20190516,Z,0.57474
20190517,X,0.65005
20190517,Y,0.81797
20190517,Z,0.57759
20190520,X,0.7248
20190520,Y,0.92998
20190520,Z,0.65344
20190521,X,0.72814
20190521,Y,0.71172
20190521,Z,0.66445
20190522,X,0.64623
20190522,Y,0.87734
20190522,Z,0.56214
20190523,X,0.66347
20190523,Y,0.87692
20190523,Z,0.56212
20190524,X,0.64885
20190524,Y,0.88958
20190524,Z,0.53221
20190527,X,0.62546
20190527,Y,0.89575
20190527,Z,0.64296
20190528,X,0.65778
20190528,Y,0.87331
20190528,Z,0.58838
20190529,X,0.65098
20190529,Y,0.84695
20190529,Z,0.53107
20190530,X,0.66648
20190530,Y,0.83926
20190530,Z,0.52644
20190531,X,0.6437
20190531,Y,0.84433
20190531,Z,0.50929
20190603,X,0.647
20190603,Y,0.8822
20190603,Z,0.65163
20190604,X,0.64768
20190604,Y,0.85364
20190604,Z,0.53108
20190605,X,0.66973
20190605,Y,0.84351
20190605,Z,0.55273
20190606,X,0.67966
20190606,Y,0.87079
20190606,Z,0.55717
20190607,X,0.66729
20190607,Y,0.80663
20190607,Z,0.53638
20190610,X,0.63095
20190610,Y,0.7239
20190610,Z,0.69079
20190611,X,0.61326
20190611,Y,0.86289
20190611,Z,0.5635
20190612,X,0.62391
20190612,Y,0.8205
20190612,Z,0.55833
20190613,X,0.62585
20190613,Y,0.87643
20190613,Z,0.53832
20190614,X,0.57732
20190614,Y,0.81334
20190614,Z,0.47728
20190617,X,0.61901
20190617,Y,0.86234
20190617,Z,0.64429
20190618,X,0.61921
20190618,Y,0.83852
20190618,Z,0.5672
20190619,X,0.6634
20190619,Y,0.8172
20190619,Z,0.55271
20190620,X,0.62249
20190620,Y,0.8592
20190620,Z,0.54348
20190621,X,0.60997
20190621,Y,0.79973
20190621,Z,0.47074
20190624,X,0.62705
20190624,Y,0.73817
20190624,Z,0.62633
20190625,X,0.59765
20190625,Y,0.8831
20190625,Z,0.55456
20190626,X,0.60913
20190626,Y,0.84254
20190626,Z,0.55252
20190627,X,0.63585
20190627,Y,0.88704
20190627,Z,0.54147
20190628,X,0.60254
20190628,Y,0.79401
20190628,Z,0.495
20190701,X,0.66608
20190701,Y,0.8546
20190701,Z,0.6656
20190702,X,0.65764
20190702,Y,0.89308
20190702,Z,0.60422
20190703,X,0.67857
20190703,Y,0.8942
20190703,Z,0.60356
20190704,X,0.72056
20190704,Y,0.79354
20190704,Z,0.67826
20190705,X,0.65053
20190705,Y,0.81293
20190705,Z,0.52165
20190708,X,0.65077
20190708,Y,0.87837
20190708,Z,0.61781
20190709,X,0.64143
20190709,Y,0.82079
20190709,Z,0.54364
20190710,X,0.67553
20190710,Y,0.82694
20190710,Z,0.57934
20190711,X,0.6799
20190711,Y,0.92369
20190711,Z,0.57058
20190712,X,0.64417
20190712,Y,0.81424
20190712,Z,0.57586
20190716,X,0.67495
20190716,Y,0.76614
20190716,Z,0.58409
20190717,X,0.61805
20190717,Y,0.86945
20190717,Z,0.53309
20190718,X,0.63483
20190718,Y,0.90425
20190718,Z,0.60612
20190719,X,0.6151
20190719,Y,0.86218
20190719,Z,0.53607
20190722,X,0.6237
20190722,Y,0.80372
20190722,Z,0.55307
20190723,X,0.65289
20190723,Y,0.80975
20190723,Z,0.48232
20190724,X,0.59275
20190724,Y,0.81909
20190724,Z,0.52554
20190725,X,0.6444
20190725,Y,0.88432
20190725,Z,0.50561
20190726,X,0.63717
20190726,Y,0.80566
20190726,Z,0.43425
20190729,X,0.66869
20190729,Y,0.8704
20190729,Z,0.55537
20190730,X,0.65258
20190730,Y,0.84978
20190730,Z,0.52008
20190731,X,0.62354
20190731,Y,0.86827
20190731,Z,0.49814
20190801,X,0.61626
20190801,Y,0.85902
20190801,Z,0.54402
20190802,X,0.62421
20190802,Y,0.8585
20190802,Z,0.45371
20190805,X,0.6393
20190805,Y,0.90047
20190805,Z,0.59104
20190806,X,0.62486
20190806,Y,0.88421
20190806,Z,0.53092
20190807,X,0.63858
20190807,Y,0.89109
20190807,Z,0.53477
20190808,X,0.60866
20190808,Y,0.85958
20190808,Z,0.53333
20190809,X,0.58797
20190809,Y,0.74337
20190809,Z,0.53337
20190813,X,0.53728
20190813,Y,0.62258
20190813,Z,0.52851
20190814,X,0.51217
20190814,Y,0.62578
20190814,Z,0.50759
20190815,X,0.50645
20190815,Y,0.65959
20190815,Z,0.50927
20190816,X,0.48295
20190816,Y,0.60426
20190816,Z,0.46245
20190819,X,0.52918
20190819,Y,0.78785
20190819,Z,0.53894
20190820,X,0.58033
20190820,Y,0.80107
20190820,Z,0.52306
20190821,X,0.57185
20190821,Y,0.8222
20190821,Z,0.47719
20190822,X,0.57317
20190822,Y,0.83631
20190822,Z,0.47623
20190823,X,0.56348
20190823,Y,0.77543
20190823,Z,0.43354
20190826,X,0.57867
20190826,Y,0.90208
20190826,Z,0.55844
20190827,X,0.61183
20190827,Y,0.86184
20190827,Z,0.51275
20190828,X,0.64811
20190828,Y,0.78718
20190828,Z,0.55797
20190829,X,0.62552
20190829,Y,0.86137
20190829,Z,0.50802
20190830,X,0.60894
20190830,Y,0.75086
20190830,Z,0.46703
20190902,X,0.59596
20190902,Y,0.90154
20190902,Z,0.61081
20190903,X,0.66035
20190903,Y,0.88884
20190903,Z,0.55596
20190904,X,0.62589
20190904,Y,0.8446
20190904,Z,0.50783
20190905,X,0.64193
20190905,Y,0.88781
20190905,Z,0.51861
20190906,X,0.59434
20190906,Y,0.85838
20190906,Z,0.478
20190909,X,0.38016
20190909,Y,0.65072
20190909,Z,0.38566
20190910,X,0.65521
20190910,Y,0.8867
20190910,Z,0.52878
20190911,X,0.63753
20190911,Y,0.90854
20190911,Z,0.5021
20190912,X,0.63396
20190912,Y,0.92212
20190912,Z,0.50786
20190913,X,0.58238
20190913,Y,0.84439
20190913,Z,0.50182
20190917,X,0.54799
20190917,Y,0.79155
20190917,Z,0.4782
20190918,X,0.58237
20190918,Y,0.79081
20190918,Z,0.49938
20190919,X,0.55632
20190919,Y,0.78468
20190919,Z,0.4478
20190920,X,0.53138
20190920,Y,0.78522
20190920,Z,0.43344
20190924,X,0.54688
20190924,Y,0.78801
20190924,Z,0.47746
20190925,X,0.55326
20190925,Y,0.78786
20190925,Z,0.47719
20190926,X,0.57204
20190926,Y,0.80844
20190926,Z,0.60292
20190927,X,0.55079
20190927,Y,0.77991
20190927,Z,0.44541
20190930,X,0.56237
20190930,Y,0.86618
20190930,Z,0.51934
20191001,X,0.54383
20191001,Y,0.84476
20191001,Z,0.50653
20191002,X,0.57235
20191002,Y,0.83396
20191002,Z,0.50299
20191003,X,0.56563
20191003,Y,0.80684
20191003,Z,0.53155
20191004,X,0.56121
20191004,Y,0.76261
20191004,Z,0.4602
20191007,X,0.57903
20191007,Y,0.90163
20191007,Z,0.55907
20191008,X,0.59572
20191008,Y,0.81783
20191008,Z,0.5029
20191009,X,0.56262
20191009,Y,0.82342
20191009,Z,0.49429
20191010,X,0.59807
20191010,Y,0.87539
20191010,Z,0.49746
20191011,X,0.65219
20191011,Y,0.86
20191011,Z,0.50728
20191015,X,0.55511
20191015,Y,0.81847
20191015,Z,0.49845
20191016,X,0.55818
20191016,Y,0.82126
20191016,Z,0.48339
20191017,X,0.56124
20191017,Y,0.82405
20191017,Z,0.46833
20191018,X,0.54089
20191018,Y,0.77327
20191018,Z,0.47548
20191021,X,0.49279
20191021,Y,0.71643
20191021,Z,0.48844
20191023,X,0.55432
20191023,Y,0.78766
20191023,Z,0.48013
20191024,X,0.56562
20191024,Y,0.8127
20191024,Z,0.47626
20191025,X,0.56642
20191025,Y,0.648
20191025,Z,0.50894
20191028,X,0.60584
20191028,Y,0.85733
20191028,Z,0.56439
20191029,X,0.58466
20191029,Y,0.80613
20191029,Z,0.58079
20191030,X,0.5945
20191030,Y,0.8438
20191030,Z,0.49142
20191031,X,0.58592
20191031,Y,0.88991
20191031,Z,0.68244
20191101,X,0.5958
20191101,Y,0.80076
20191101,Z,0.49661
20191105,X,0.56685
20191105,Y,0.81694
20191105,Z,0.54045
20191106,X,0.6068
20191106,Y,0.85424
20191106,Z,0.5518
20191107,X,0.6055
20191107,Y,0.84814
20191107,Z,0.52441
20191108,X,0.64079
20191108,Y,0.81803
20191108,Z,0.51222
20191111,X,0.59471
20191111,Y,0.84767
20191111,Z,0.55823
20191112,X,0.56268
20191112,Y,0.83318
20191112,Z,0.51976
20191113,X,0.54028
20191113,Y,0.84627
20191113,Z,0.50162
20191114,X,0.52516
20191114,Y,0.82085
20191114,Z,0.52132
20191115,X,0.52314
20191115,Y,0.80576
20191115,Z,0.43765
20191118,X,0.53669
20191118,Y,0.84063
20191118,Z,0.59111
20191119,X,0.53304
20191119,Y,0.831
20191119,Z,0.51653
20191120,X,0.5484
20191120,Y,0.83207
20191120,Z,0.50541
20191121,X,0.55513
20191121,Y,0.82203
20191121,Z,0.51792
20191122,X,0.52971
20191122,Y,0.68835
20191122,Z,0.52477
20191125,X,0.56885
20191125,Y,0.82611
20191125,Z,0.58859
20191126,X,0.53351
20191126,Y,0.79904
20191126,Z,0.54212
20191127,X,0.54989
20191127,Y,0.7676
20191127,Z,0.54812
20191128,X,0.55833
20191128,Y,0.77651
20191128,Z,0.72349
20191129,X,0.49068
20191129,Y,0.81593
20191129,Z,0.48501
20191202,X,0.58004
20191202,Y,0.73903
20191202,Z,0.65053
20191203,X,0.53247
20191203,Y,0.83204
20191203,Z,0.51473
20191204,X,0.55061
20191204,Y,0.8345
20191204,Z,0.49513
20191205,X,0.57235
20191205,Y,0.82487
20191205,Z,0.53206
20191206,X,0.50788
20191206,Y,0.79451
20191206,Z,0.47992
20191209,X,0.52973
20191209,Y,0.82948
20191209,Z,0.61829
20191210,X,0.55193
20191210,Y,0.8209
20191210,Z,0.54716
20191211,X,0.60853
20191211,Y,0.85316
20191211,Z,0.52468
20191212,X,0.53824
20191212,Y,0.80567
20191212,Z,0.53797
20191213,X,0.53532
20191213,Y,0.79147
20191213,Z,0.49279
20191216,X,0.52683
20191216,Y,0.83321
20191216,Z,0.60056
20191217,X,0.53956
20191217,Y,0.76347
20191217,Z,0.55222
20191218,X,0.52726
20191218,Y,0.80112
20191218,Z,0.51228
20191219,X,0.52448
20191219,Y,0.84436
20191219,Z,0.5593
20191220,X,0.53007
20191220,Y,0.77743
20191220,Z,0.57305
20191223,X,0.53569
20191223,Y,0.81325
20191223,Z,0.60693
20191224,X,0.53321
20191224,Y,0.78858
20191224,Z,0.52866
20191225,X,0.88249
20191225,Y,0.8302
20191225,Z,0.51969
20191226,X,0.5467
20191226,Y,0.80631
20191226,Z,0.67659
20191227,X,0.39597
20191227,Y,0.68014
20191227,Z,0.93408
20200106,X,0.46035
20200106,Y,0.82732
20200106,Z,0.50256
20200107,X,0.48831
20200107,Y,0.75659
20200107,Z,0.47955
20200108,X,0.51571
20200108,Y,0.73117
20200108,Z,0.54896
20200109,X,0.50821
20200109,Y,0.75336
20200109,Z,0.51044
20200110,X,0.48709
20200110,Y,0.76946
20200110,Z,0.59394
20200114,X,0.49856
20200114,Y,0.79275
20200114,Z,0.55474
20200115,X,0.50367
20200115,Y,0.78438
20200115,Z,0.54801
20200116,X,0.50104
20200116,Y,0.78849
20200116,Z,0.54859
20200117,X,0.48839
20200117,Y,0.736
20200117,Z,0.48402
20200120,X,0.50545
20200120,Y,0.79137
20200120,Z,0.56058
20200121,X,0.52066
20200121,Y,0.81459
20200121,Z,0.55803
20200122,X,0.51341
20200122,Y,0.81286
20200122,Z,0.57028
20200123,X,0.53579
20200123,Y,0.79554
20200123,Z,0.64319
20200124,X,0.51199
20200124,Y,0.79176
20200124,Z,0.46764
20200127,X,0.54692
20200127,Y,0.81665
20200127,Z,0.59467
20200128,X,0.60051
20200128,Y,0.6707
20200128,Z,0.58024
20200129,X,0.49968
20200129,Y,0.77812
20200129,Z,0.53421
20200130,X,0.52002
20200130,Y,0.80058
20200130,Z,0.69201
20200131,X,0.49551
20200131,Y,0.77751
20200131,Z,0.51297
20200203,X,0.52818
20200203,Y,0.78551
20200203,Z,0.61308
20200204,X,0.52103
20200204,Y,0.78596
20200204,Z,0.53779
20200205,X,0.5093
20200205,Y,0.78122
20200205,Z,0.53869
20200206,X,0.53882
20200206,Y,0.75966
20200206,Z,0.54507
20200207,X,0.55181
20200207,Y,0.75742
20200207,Z,0.46953
20200210,X,0.57769
20200210,Y,0.69013
20200210,Z,0.5339
20200212,X,0.53251
20200212,Y,0.74528
20200212,Z,0.53275
20200213,X,0.51205
20200213,Y,0.72098
20200213,Z,0.55387
20200214,X,0.48969
20200214,Y,0.7541
20200214,Z,0.47728
20200217,X,0.50384
20200217,Y,0.80851
20200217,Z,0.5675
20200218,X,0.52324
20200218,Y,0.73331
20200218,Z,0.49488
20200219,X,0.51152
20200219,Y,0.76189
20200219,Z,0.52714
20200220,X,0.52715
20200220,Y,0.75956
20200220,Z,0.54522
20200221,X,0.46489
20200221,Y,0.74686
20200221,Z,0.45914
20200225,X,0.53273
20200225,Y,0.74203
20200225,Z,0.51451
20200226,X,0.51247
20200226,Y,0.70402
20200226,Z,0.53913
20200227,X,0.74396
20200227,Y,0.7737
20200227,Z,0.73115
20200228,X,0.57731
20200228,Y,0.77817
20200228,Z,0.51447
20200302,X,0.55982
20200302,Y,0.76608
20200302,Z,0.62795
20200303,X,0.51083
20200303,Y,0.75445
20200303,Z,0.5435
20200304,X,0.54476
20200304,Y,0.73406
20200304,Z,0.56311
20200305,X,0.54608
20200305,Y,0.68845
20200305,Z,0.54437
20200306,X,0.51009
20200306,Y,0.63814
20200306,Z,0.48716
20200309,X,0.51855
20200309,Y,0.66972
20200309,Z,0.54962
20200310,X,0.52921
20200310,Y,0.62018
20200310,Z,0.54393
20200311,X,0.52502
20200311,Y,0.66302
20200311,Z,0.52602
20200312,X,0.50399
20200312,Y,0.67436
20200312,Z,0.51109
20200313,X,0.51548
20200313,Y,0.64665
20200313,Z,0.48626
20200316,X,0.5379
20200316,Y,0.64579
20200316,Z,0.5398
20200317,X,0.53836
20200317,Y,0.63372
20200317,Z,0.49639
20200318,X,0.52203
20200318,Y,0.61228
20200318,Z,0.49158
20200319,X,0.53049
20200319,Y,0.59466
20200319,Z,0.46963
20200323,X,0.5129
20200323,Y,0.60609
20200323,Z,0.57014
20200324,X,0.53373
20200324,Y,0.62786
20200324,Z,0.57208
20200325,X,0.52882
20200325,Y,0.59105
20200325,Z,0.52434
20200326,X,0.5457
20200326,Y,0.61708
20200326,Z,0.50753
20200327,X,0.51727
20200327,Y,0.56911
20200327,Z,0.44598
20200330,X,0.49755
20200330,Y,0.53728
20200330,Z,0.48857
20200331,X,0.49078
20200331,Y,0.53278
20200331,Z,0.45888
20200401,X,0.52393
20200401,Y,0.52872
20200401,Z,1
20200402,X,0.50583
20200402,Y,0.55281
20200402,Z,0.2282
20200403,X,0.5222
20200403,Y,0.53862
20200403,Z,0.44344
20200406,X,0.50579
20200406,Y,0.53191
20200406,Z,0.51326
20200407,X,0.53591
20200407,Y,0.48217
20200407,Z,0.47593
20200408,X,0.46725
20200408,Y,0.42547
20200408,Z,0.3431
20200409,X,0.39132
20200409,Y,0.42159
20200409,Z,0.27243
20200410,X,0.36843
20200410,Y,0.38622
20200410,Z,0.27839
20200413,X,0.34804
20200413,Y,0.31043
20200413,Z,0.33007
20200414,X,0.31419
20200414,Y,0.34394
20200414,Z,0.24991
20200415,X,0.30607
20200415,Y,0.36872
20200415,Z,0.2496
20200416,X,0.29908
20200416,Y,0.36604
20200416,Z,0.27896
20200417,X,0.30713
20200417,Y,0.32052
20200417,Z,0.21775
20200420,X,0.30781
20200420,Y,0.26524
20200420,Z,0.28593
20200421,X,0.29145
20200421,Y,0.35971
20200421,Z,0.22303
20200422,X,0.28625
20200422,Y,0.30974
20200422,Z,0.22275
20200423,X,0.28436
20200423,Y,0.33057
20200423,Z,0.25672
20200424,X,0.27473
20200424,Y,0.33925
20200424,Z,0.22557
20200427,X,0.2942
20200427,Y,0.30547
20200427,Z,0.22944
20200428,X,0.30129
20200428,Y,0.3097
20200428,Z,0.22128
20200430,X,0.25224
20200430,Y,0.24365
20200430,Z,0.51515
20200501,X,0.2284
20200501,Y,0.2502
20200501,Z,0.20958
20200507,X,0.267
20200507,Y,0.3989
20200507,Z,0.25222
20200508,X,0.2351
20200508,Y,0.3264
20200508,Z,0.20828
20200511,X,0.25511
20200511,Y,0.35707
20200511,Z,0.20858
20200512,X,0.25799
20200512,Y,0.33046
20200512,Z,0.20159
20200513,X,0.23957
20200513,Y,0.34498
20200513,Z,0.20062
20200514,X,0.22557
20200514,Y,0.31653
20200514,Z,0.20512
20200515,X,0.2306
20200515,Y,0.35876
20200515,Z,0.18841
20200518,X,0.2242
20200518,Y,0.34268
20200518,Z,0.23103
20200519,X,0.21792
20200519,Y,0.29717
20200519,Z,0.19805
20200520,X,0.20641
20200520,Y,0.3101
20200520,Z,0.21345
20200521,X,0.21045
20200521,Y,0.3275
20200521,Z,0.21312
20200522,X,0.20081
20200522,Y,0.34968
20200522,Z,0.21482
20200525,X,0.22865
20200525,Y,0.34656
20200525,Z,0.22031
20200526,X,0.207
20200526,Y,0.33696
20200526,Z,0.21021
20200527,X,0.2016
20200527,Y,0.35447
20200527,Z,0.23814
20200528,X,0.18799
20200528,Y,0.36991
20200528,Z,0.21531
20200529,X,0.23713
20200529,Y,0.38809
20200529,Z,0.23457
20200601,X,0.30075
20200601,Y,0.44899
20200601,Z,0.33639
20200602,X,0.27158
20200602,Y,0.43794
20200602,Z,0.2827
20200603,X,0.26746
20200603,Y,0.47293
20200603,Z,0.29855
20200604,X,0.26609
20200604,Y,0.44982
20200604,Z,0.29758
20200605,X,0.26534
20200605,Y,0.45358
20200605,Z,0.29281
20200608,X,0.27588
20200608,Y,0.46533
20200608,Z,0.302
20200609,X,0.26233
20200609,Y,0.46184
20200609,Z,0.29475
20200610,X,0.27904
20200610,Y,0.47134
20200610,Z,0.31256
20200611,X,0.29824
20200611,Y,0.47826
20200611,Z,0.32449
20200612,X,0.26653
20200612,Y,0.45837
20200612,Z,0.26785
20200615,X,0.27899
20200615,Y,0.50175
20200615,Z,0.35167
20200616,X,0.27897
20200616,Y,0.49504
20200616,Z,0.28901
20200617,X,0.26297
20200617,Y,0.46532
20200617,Z,0.31742
20200618,X,0.29407
20200618,Y,0.48174
20200618,Z,0.32773
20200619,X,0.27069
20200619,Y,0.37207
20200619,Z,0.31634
20200622,X,0.29669
20200622,Y,0.41004
20200622,Z,0.33841
20200623,X,0.2672
20200623,Y,0.49627
20200623,Z,0.29917
20200624,X,0.28508
20200624,Y,0.47422
20200624,Z,0.31136
20200625,X,0.30501
20200625,Y,0.44003
20200625,Z,0.32789
20200626,X,0.29451
20200626,Y,0.49883
20200626,Z,0.29231
20200629,X,0.28054
20200629,Y,0.48184
20200629,Z,0.30481
20200630,X,0.32288
20200630,Y,0.48721
20200630,Z,0.32375
